,ID,setting_name,openml_id,learner_name,sampling_strategy_name,test_split_seed,train_split_seed,seed,iteration,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss
43,5336,small,11,rf_entropy,random,0,0,0,1,0.74396135,0.72458166,0.72512765,0.74396135,0.79044662,0.80120107
44,5337,small,11,rf_entropy,random,0,0,0,2,0.71980676,0.70179964,0.70246298,0.71980676,0.80205493,0.6491719
45,5338,small,11,rf_entropy,random,0,0,0,3,0.76811594,0.74416904,0.73304104,0.76811594,0.80059403,0.79363835
46,5339,small,11,rf_entropy,random,0,0,0,4,0.79710145,0.76799721,0.74680389,0.79710145,0.79572262,0.91632231
47,5340,small,11,rf_entropy,random,0,0,0,5,0.7826087,0.76021817,0.7489346,0.7826087,0.80511592,0.77107491
48,5341,small,11,rf_entropy,random,0,0,0,6,0.80193237,0.77147438,0.74366785,0.80193237,0.79568798,0.75243418
49,5342,small,11,rf_entropy,random,0,0,0,7,0.77294686,0.75134849,0.73093208,0.77294686,0.79072686,0.76905686
50,5343,small,11,rf_entropy,random,0,0,0,8,0.80193237,0.77748535,0.75481121,0.80193237,0.79039373,1.21179667
51,5344,small,11,rf_entropy,random,0,0,0,9,0.80676329,0.77825693,0.75172835,0.80676329,0.79801353,1.0490815
52,5345,small,11,rf_entropy,random,0,0,0,10,0.80193237,0.78605651,0.77866043,0.80193237,0.79053978,0.75905866
53,5346,small,11,rf_entropy,random,0,0,0,11,0.78743961,0.76141825,0.73728168,0.78743961,0.77477818,0.92541054
54,5347,small,11,rf_entropy,random,0,0,0,12,0.76811594,0.76272219,0.75778047,0.76811594,0.75822242,0.80418227
55,5348,small,11,rf_entropy,random,0,0,0,13,0.76811594,0.75767728,0.74960392,0.76811594,0.76175369,1.0928824
56,5349,small,11,rf_entropy,random,0,0,0,14,0.75362319,0.74819816,0.74403712,0.75362319,0.76183331,0.80584798
57,5350,small,11,rf_entropy,random,0,0,0,15,0.75362319,0.75405777,0.75650714,0.75362319,0.7715053,0.94639057
58,5351,small,11,rf_entropy,random,0,0,0,16,0.80193237,0.78599653,0.77484124,0.80193237,0.79270917,0.60196878
59,5352,small,11,rf_entropy,random,0,0,0,17,0.82125604,0.79535866,0.77428962,0.82125604,0.80775919,0.56330454
60,5353,small,11,rf_entropy,random,0,0,0,18,0.8115942,0.79936061,0.7921815,0.8115942,0.78096477,0.74192404
